Time,Acc,Label
0,0.383805364,0
0.000976563,1.58744669,0
0.001953125,-0.639145136,0
0.002929688,0.877558708,0
0.00390625,-0.089983769,0
0.004882813,0.137579679,0
0.005859375,-0.69209379,0
0.006835938,-1.030907273,0
0.0078125,-0.737953663,0
0.008789063,-1.978774786,0
0.009765625,-1.131596446,0
0.010742188,-1.777396321,0
0.01171875,-1.953747153,0
0.012695313,-1.114380956,0
0.013671875,-1.808500051,0
0.014648438,-0.593719244,0
0.015625,-1.5222013,0
0.016601563,-0.731877625,0
0.017578125,-1.246029258,0
0.018554688,-1.44639504,0
0.01953125,-0.666776836,0
0.020507813,-1.431494117,0
0.021484375,-1.143603921,0
0.022460938,-0.523699701,0
0.0234375,-0.862223864,0
0.024414063,0.062496763,0
0.025390625,-0.434439301,0
0.026367188,0.725222826,0
0.02734375,0.266045243,0
0.028320313,1.471711993,0
0.029296875,1.328200936,0
0.030273438,1.099335432,0
0.03125,2.397300482,0
0.032226563,1.888212442,0
0.033203125,2.077583313,0
0.034179688,2.25928688,0
0.03515625,1.401837111,0
0.036132813,2.37299633,0
0.037109375,0.345757544,0
0.038085938,1.278724313,0
0.0390625,0.077976286,0
0.040039063,0.543229938,0
0.041015625,0.958428383,0
0.041992188,-0.162751988,0
0.04296875,1.233877063,0
0.043945313,-0.12398085,0
0.044921875,1.232575059,0
0.045898438,0.348940253,0
0.046875,-0.429520577,0
0.047851563,0.046438567,0
0.048828125,-1.296229124,0
0.049804688,-0.611368775,0
0.05078125,-1.802134633,0
0.051757813,-1.530591965,0
0.052734375,-1.431928158,0
0.053710938,-1.816601515,0
0.0546875,-1.090944648,0
0.055664063,-2.350572586,0
0.056640625,-0.23595421,0
0.057617188,-1.361474633,0
0.05859375,-1.823111534,0
0.059570313,-0.786128283,0
0.060546875,-0.996620834,0
0.061523438,-0.935570776,0
0.0625,-1.243569851,0
0.063476563,-1.194671869,0
0.064453125,0.19284302,0
0.065429688,-1.884451032,0
0.06640625,-0.206586525,0
0.067382813,-0.318415225,0
0.068359375,-0.216713309,0
0.069335938,0.763849318,0
0.0703125,0.671984851,0
